date,field,company,ticker,stock_code,recommendation,weighted_signal,as_of_date,signal_source,finance_signal,finance_weighted_signal,finance_recommendation,finance_weight,market_signal,market_weighted_signal,market_recommendation,market_weight,tech_signal,tech_weighted_signal,tech_recommendation,tech_weight,valuation_signal,valuation_weighted_signal,valuation_recommendation,valuation_weight,issue_signal,issue_weighted_signal,issue_recommendation,issue_weight,macro_signal,macro_weighted_signal,macro_recommendation,macro_weight
2025-09,반도체,LX세미콘,108320,108320,매도,0.0208,2025-09-30,real_pipeline:chair:auditor_summary.quantitative_decision.dma,0.5056,0.084267,보유,0.166667,-0.1275,-0.02125,매도,0.166667,0.0959,0.015983,보유,0.166667,0.0546,0.0091,매도,0.166667,0.5714,0.095233,보유,0.166667,-0.975,-0.1625,매도,0.166667
2025-09,반도체,미코,059090,059090,보유,0.0322,2025-09-30,real_pipeline:chair:auditor_summary.quantitative_decision.dma,0.2616,0.0436,보유,0.166667,0.2997,0.04995,보유,0.166667,0.0431,0.007183,보유,0.166667,0.3296,0.054933,매수,0.166667,0.2593,0.043217,보유,0.166667,-1.0,-0.166667,매도,0.166667
2025-09,반도체,네패스,033640,033640,매수,0.0857,2025-09-30,real_pipeline:chair:auditor_summary.quantitative_decision.dma,-0.2865,-0.04775,보유,0.166667,0.3143,0.052383,매수,0.166667,0.5316,0.0886,보유,0.166667,0.263,0.043833,매수,0.166667,0.6667,0.111117,보유,0.166667,-0.975,-0.1625,매도,0.166667
2025-09,반도체,넥스틴,348210,348210,보유,0.0303,2025-09-30,real_pipeline:chair:auditor_summary.quantitative_decision.dma,0.625,0.104167,보유,0.166667,0.2641,0.044017,매수,0.166667,0.231,0.0385,보유,0.166667,-0.3919,-0.065317,보유,0.166667,0.4286,0.071433,보유,0.166667,-0.975,-0.1625,매도,0.166667
2025-09,반도체,피에스케이,319660,319660,매도,0.0531,2025-09-30,real_pipeline:chair:auditor_summary.quantitative_decision.dma,0.7231,0.120517,보유,0.166667,0.3251,0.054183,보유,0.166667,0.0748,0.012467,보유,0.166667,-0.1628,-0.027133,매도,0.166667,0.3333,0.05555,보유,0.166667,-0.975,-0.1625,매도,0.166667
2025-09,반도체,SFA반도체,036540,036540,매도,-0.0688,2025-09-30,real_pipeline:chair:auditor_summary.quantitative_decision.dma,0.1393,0.023217,보유,0.166667,0.2514,0.0419,보유,0.166667,0.0069,0.00115,보유,0.166667,-0.4106,-0.068433,매도,0.166667,0.6,0.1,보유,0.166667,-1.0,-0.166667,매도,0.166667
2025-09,반도체,솔브레인,357780,357780,매도,0.0576,2025-09-30,real_pipeline:chair:auditor_summary.quantitative_decision.dma,0.5838,0.0973,보유,0.166667,0.34,0.056667,보유,0.166667,0.0128,0.002133,보유,0.166667,-0.1837,-0.030617,매도,0.166667,0.5676,0.0946,보유,0.166667,-0.975,-0.1625,매도,0.166667
2025-09,반도체,에스티아이,039440,039440,매도,-0.0756,2025-09-30,real_pipeline:chair:auditor_summary.quantitative_decision.dma,0.3886,0.064767,보유,0.166667,0.2263,0.037717,보유,0.166667,-0.1801,-0.030017,보유,0.166667,-0.2521,-0.042017,매도,0.166667,0.3636,0.0606,보유,0.166667,-1.0,-0.166667,매도,0.166667
2025-09,반도체,티씨케이,064760,064760,매도,0.1181,2025-09-30,real_pipeline:chair:auditor_summary.quantitative_decision.dma,0.6978,0.1163,보유,0.166667,0.4006,0.066767,보유,0.166667,0.2329,0.038817,보유,0.166667,-0.2309,-0.038483,매도,0.166667,0.5833,0.097217,매수,0.166667,-0.975,-0.1625,매도,0.166667
2025-09,반도체,텔레칩스,054450,054450,매도,-0.0469,2025-09-30,real_pipeline:chair:auditor_summary.quantitative_decision.dma,-0.1992,-0.0332,보유,0.166667,0.0774,0.0129,보유,0.166667,0.2206,0.036767,보유,0.166667,-0.1132,-0.018867,보유,0.166667,0.7333,0.122217,보유,0.166667,-1.0,-0.166667,매도,0.166667
2025-09,반도체,테스,095610,095610,매도,0.0644,2025-09-30,real_pipeline:chair:auditor_summary.quantitative_decision.dma,0.4841,0.080683,보유,0.166667,0.2272,0.037867,보유,0.166667,0.0557,0.009283,보유,0.166667,-0.1383,-0.02305,매도,0.166667,0.7576,0.126267,보유,0.166667,-1.0,-0.166667,매도,0.166667
2025-09,반도체,월덱스,101160,101160,보유,0.2714,2025-09-30,real_pipeline:chair:auditor_summary.quantitative_decision.dma,0.6747,0.11245,보유,0.166667,0.3084,0.0514,보유,0.166667,0.2104,0.035067,보유,0.166667,0.6007,0.100117,매수,0.166667,0.8095,0.134917,보유,0.166667,-0.975,-0.1625,매도,0.166667
2025-09,반도체,원익IPS,240810,240810,매도,0.0663,2025-09-30,real_pipeline:chair:auditor_summary.quantitative_decision.dma,0.5665,0.094417,보유,0.166667,0.24,0.04,보유,0.166667,0.0287,0.004783,보유,0.166667,-0.2481,-0.04135,매도,0.166667,0.7857,0.13095,보유,0.166667,-0.975,-0.1625,매도,0.166667
2025-09,반도체,원익머트리얼즈,104830,104830,보유,0.1697,2025-09-30,real_pipeline:chair:auditor_summary.quantitative_decision.dma,0.4717,0.078617,보유,0.166667,0.2857,0.047617,보유,0.166667,0.2364,0.0394,보유,0.166667,0.5702,0.095033,매수,0.166667,0.4043,0.067383,보유,0.166667,-0.95,-0.158333,매도,0.166667
