date,ticker,recommendation,weighted_signal,stock_code,company_dir,field,as_of_date,run_id,signal_source,chair_json_path,auditor_packet_path,finance_signal,finance_weighted_signal,finance_recommendation,finance_weight,finance_signal_source,finance_basis,market_signal,market_weighted_signal,market_recommendation,market_weight,market_signal_source,market_basis,tech_signal,tech_weighted_signal,tech_recommendation,tech_weight,tech_signal_source,tech_basis,valuation_signal,valuation_weighted_signal,valuation_recommendation,valuation_weight,valuation_signal_source,valuation_basis,issue_signal,issue_weighted_signal,issue_recommendation,issue_weight,issue_signal_source,issue_basis,macro_signal,macro_weighted_signal,macro_recommendation,macro_weight,macro_signal_source,macro_basis
2025-03,텔레칩스,보유,,054450,telechips,반도체,2025-03-31,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-03,코아시아,보유,,045970,coasia,반도체,2025-03-31,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-03,가온칩스,보유,,399720,gaochips,반도체,2025-03-31,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-03,원익IPS,보유,,240810,wonik_ips,반도체,2025-03-31,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-03,유진테크,보유,,084370,eugene_tech,반도체,2025-03-31,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-03,피에스케이,보유,,319660,psk,반도체,2025-03-31,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-03,테스,보유,,095610,tes,반도체,2025-03-31,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-03,GST,보유,,083450,gst,반도체,2025-03-31,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-03,에스티아이,보유,,039440,sti,반도체,2025-03-31,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-03,넥스틴,보유,,348210,nextin,반도체,2025-03-31,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-03,솔브레인,보유,,357780,soulbrain,반도체,2025-03-31,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-03,동진쎄미켐,보유,,005290,dongjin_semichem,반도체,2025-03-31,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-03,원익머트리얼즈,보유,,104830,wonik_materials,반도체,2025-03-31,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-03,이엔에프테크놀로지,보유,,102710,enf_tech,반도체,2025-03-31,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-03,티씨케이,보유,,064760,tck,반도체,2025-03-31,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-03,월덱스,보유,,101160,woldex,반도체,2025-03-31,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-03,ISC,보유,,095340,isc,반도체,2025-03-31,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-03,SFA반도체,보유,,036540,sfa_semicon,반도체,2025-03-31,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-03,두산테스나,보유,,131970,doosan_tesna,반도체,2025-03-31,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-03,리노공업,보유,,058470,leeno,반도체,2025-03-31,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-04,네패스,보유,,033640,nepes,반도체,2025-04-30,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-04,한미반도체,보유,,042700,hanmi,반도체,2025-04-30,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-04,한솔케미칼,보유,,014680,hansol,반도체,2025-04-30,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-04,덕산테코피아,보유,,317330,duksan,반도체,2025-04-30,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-04,엘티씨,보유,,170920,ltc,반도체,2025-04-30,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
