application_number,open_number,register_number,register_status,final_disposal,invention_title,right_holder
1020090003105,1020100083630,,거절,거절,웨이퍼 검사장치,한미반도체 주식회사
1020020071427,1020040043239,1004524240000,소멸,소멸,플로터와 워킹빔을 갖춘 캠구동식 싱귤레이션장치,한미반도체 주식회사
1020130034278,1020140118418,1015433170000,등록,등록,본딩 부재 및 이를 구비하는 반도체칩 본딩장치,한미반도체 주식회사
1020150145138,,1016901080000,소멸,소멸,컴프레션 몰딩장치,한미반도체 주식회사
1020230150247,1020240093326,1028736860000,등록,등록,반도체 제조장치의 처리방법,한미반도체 주식회사
1019930031493,1019950021446,1001179420000,소멸,소멸,반도체팩키지금형의모듈구분방법과그장치,한미반도체 주식회사
1020180028174,1020190106545,,취하,취하,테이프 어태치 장치,한미반도체 주식회사
1020030020730,1020040085884,1005597790000,소멸,소멸,플로터를 갖춘 하향식 반도체 금형장치,한미반도체 주식회사
1020010017149,1020010087439,,포기,포기,반도체 금형용 펠릿 로딩장치,한미반도체 주식회사
1020030077831,1020050043069,,포기,포기,필름형 반도체 패키지 절단장치,한미반도체 주식회사
1020120130673,1020140063943,1014360560000,소멸,소멸,몰딩용 타블렛 공급장치,한미반도체 주식회사
1020090122572,1020110065888,,취하,취하,웨이퍼 핸들링장치용 픽커 및 이를 이용한 웨이퍼 핸들링방법,한미반도체 주식회사
1020060114741,1020080045524,1008544360000,등록,등록,반도체 패키지 핸들링장치,한미반도체 주식회사
1019890006978,1019900019190,1000545770000,소멸,소멸,반도체칩성형기의리드프레임이송장치,한미반도체 주식회사
1020210056730,1020220149866,,취하,취하,웨이퍼 마킹장치 및 이의 마킹방법,한미반도체 주식회사
1020200160708,1020220073035,1024578760000,등록,등록,레이저 가공 방법,한미반도체 주식회사
1020060117646,1020080047775,1013033140000,소멸,소멸,반도체 패키지 몰딩장치,한미반도체 주식회사
1020120079982,1020140013313,1013583730000,등록,등록,반도체 제조용 척테이블장치 및 이를 갖춘 반도체 제조장치,한미반도체 주식회사
1020100002710,1020100083726,1015536820000,소멸,소멸,성형장치용 컬 감지장치,한미반도체 주식회사
1020030022667,1020040088689,1004975270000,소멸,소멸,반도체 리드프레임 공급장치 및 공급방법,한미반도체 주식회사
1020100113693,1020120052502,1012074700000,소멸,소멸,웨이퍼 검사장치 및 이를 구비한 웨이퍼 검사 시스템,한미반도체 주식회사
1020130072185,1020150000148,,포기,포기,척테이블 및 척테이블 제조방법,한미반도체 주식회사
1019940006372,1019950028092,1001335410000,소멸,소멸,반도체팩키지의리이드재성형장치,한미반도체 주식회사
1020170035163,1020180106593,,거절,거절,압축 몰딩 시스템 및 이의 압축 몰딩 방법,한미반도체 주식회사
1020070064522,1020080104927,,취하,취하,번인 테스트용 소팅 핸들러,한미반도체 주식회사
1020060006011,,1006853730000,등록,등록,공압식 분할 시스템 및 펀치툴,한미반도체 주식회사
1020030011659,1020040076343,1005235470000,소멸,소멸,반도체 패키지의 리드프레임 성형용 금형,한미반도체 주식회사
1020120018730,1020130097034,,포기,포기,다이 소터,한미반도체 주식회사
1020050043246,1020060120980,1007240440000,소멸,소멸,반도체 제조 공정용 이송장치,한미반도체 주식회사
1019980050041,1020000033262,1002978520000,소멸,소멸,반도체팩키지의 리드걸폼 성형방법 및 그 금형,한미반도체 주식회사
1020190082838,,1021203510000,등록,등록,비전시스템의 조명 설정 방법,한미반도체 주식회사
1020040054734,1020060005778,1005634350000,소멸,소멸,셔틀슈트 및 이를 이용한 소팅방법,한미반도체 주식회사
1020080061282,1020100001395,,거절,거절,자재 이송용 쏘팅픽커,한미반도체 주식회사
1020230162738,1020250075361,,공개,공개,본딩장치,한미반도체 주식회사
1019970023677,1019990000650,1002455520000,소멸,소멸,반도체 가공장치의 팩키지 적재시스템,한미반도체 주식회사
1020030021955,1020040087524,1004975060000,소멸,소멸,반도체 스트립 소잉장치 및 이를 구비한 반도체 패키지의싱귤레이션 장치,한미반도체 주식회사
1020070025604,1020080084216,,취하,취하,번인 테스트용 소팅 핸들러,한미반도체 주식회사
1020200174522,1020220084744,1028915480000,등록,등록,본딩장치 및 본딩장치의 보정방법,한미반도체 주식회사
1020240035699,1020250139915,,공개,공개,반도체 자재 절단장치,한미반도체 주식회사
1020040096488,1020060057665,,취하,취하,반도체 제조공정용 쏘잉시스템,한미반도체 주식회사
1020060138017,,1008382400000,등록,등록,반도체 패키지 제조 장비의 듀얼 테이블 간섭 방지 장치 및방법,한미반도체 주식회사
