date,sox_close,sox_adj_close,sox_volume,nasdaq_close,nasdaq_adj_close,nasdaq_volume,sp500_close,sp500_adj_close,sp500_volume,vix_yf_close,vix_yf_adj_close,vix_yf_volume,korea_etf_close,korea_etf_adj_close,korea_etf_volume
2023-06-02,3501.39990234375,3501.39990234375,0,13240.76953125,13240.76953125,4426760000,4282.3701171875,4282.3701171875,4454200000,14.600000381469727,14.600000381469727,0,65.16000366210938,60.6572380065918,4695100
2023-06-05,3444.1201171875,3444.1201171875,0,13229.4296875,13229.4296875,4344280000,4273.7900390625,4273.7900390625,3813290000,14.729999542236328,14.729999542236328,0,65.12999725341797,60.62930679321289,2721100
2023-06-06,3488.340087890625,3488.340087890625,0,13276.419921875,13276.419921875,4810910000,4283.85009765625,4283.85009765625,3996560000,13.960000038146973,13.960000038146973,0,65.69999694824219,61.15991973876953,3245700
2023-06-07,3477.179931640625,3477.179931640625,0,13104.900390625,13104.900390625,5270600000,4267.52001953125,4267.52001953125,4537800000,13.9399995803833,13.9399995803833,0,64.76000213623047,60.28487777709961,3741200
2023-06-08,3514.320068359375,3514.320068359375,0,13238.51953125,13238.51953125,4280160000,4293.93017578125,4293.93017578125,3826740000,13.649999618530273,13.649999618530273,0,65.66000366210938,61.12268829345703,2246500
2023-06-09,3524.969970703125,3524.969970703125,0,13259.1396484375,13259.1396484375,4412710000,4298.85986328125,4298.85986328125,3786510000,13.829999923706055,13.829999923706055,0,66.68000030517578,62.07219696044922,3362800
2023-06-12,3641.659912109375,3641.659912109375,0,13461.919921875,13461.919921875,4722680000,4338.93017578125,4338.93017578125,3945670000,15.010000228881836,15.010000228881836,0,66.63999938964844,62.03496170043945,2172400
2023-06-13,3683.659912109375,3683.659912109375,0,13573.3203125,13573.3203125,5522100000,4369.009765625,4369.009765625,4275400000,14.609999656677246,14.609999656677246,0,67.51000213623047,62.84484100341797,4553000
2023-06-14,3739.75,3739.75,0,13626.48046875,13626.48046875,5772550000,4372.58984375,4372.58984375,4252110000,13.880000114440918,13.880000114440918,0,66.87999725341797,62.25837326049805,3448700
2023-06-15,3708.06005859375,3708.06005859375,0,13782.8203125,13782.8203125,5667520000,4425.83984375,4425.83984375,4176690000,14.5,14.5,0,67.04000091552734,62.40732192993164,3473900
2023-06-16,3673.139892578125,3673.139892578125,0,13689.5703125,13689.5703125,8076530000,4409.58984375,4409.58984375,6848600000,13.539999961853027,13.539999961853027,0,66.4800033569336,61.886024475097656,3030300
2023-06-20,3647.56005859375,3647.56005859375,0,13667.2900390625,13667.2900390625,5237710000,4388.7099609375,4388.7099609375,4055790000,13.880000114440918,13.880000114440918,0,65.18000030517578,60.67585754394531,3317900
2023-06-21,3549.72998046875,3549.72998046875,0,13502.2001953125,13502.2001953125,5194640000,4365.68994140625,4365.68994140625,3709330000,13.199999809265137,13.199999809265137,0,64.62000274658203,60.15455627441406,3539900
2023-06-22,3569.8701171875,3569.8701171875,0,13630.6103515625,13630.6103515625,4499550000,4381.89013671875,4381.89013671875,3511000000,12.90999984741211,12.90999984741211,0,64.63999938964844,60.17317199707031,2554900
2023-06-23,3506.7099609375,3506.7099609375,0,13492.51953125,13492.51953125,7734500000,4348.330078125,4348.330078125,6053620000,13.4399995803833,13.4399995803833,0,63.310001373291016,58.93507385253906,3514600
2023-06-26,3515.77001953125,3515.77001953125,0,13335.7802734375,13335.7802734375,4430600000,4328.81982421875,4328.81982421875,3415030000,14.25,14.25,0,63.900001525878906,59.484310150146484,2084500
2023-06-27,3642.409912109375,3642.409912109375,0,13555.669921875,13555.669921875,5053660000,4378.41015625,4378.41015625,3573500000,13.739999771118164,13.739999771118164,0,64.56999969482422,60.108009338378906,2705000
2023-06-28,3609.47998046875,3609.47998046875,0,13591.75,13591.75,4533270000,4376.85986328125,4376.85986328125,3739330000,13.430000305175781,13.430000305175781,0,63.279998779296875,58.90715026855469,2875500
2023-06-29,3614.179931640625,3614.179931640625,0,13591.330078125,13591.330078125,4388140000,4396.43994140625,4396.43994140625,3696660000,13.539999961853027,13.539999961853027,0,62.720001220703125,58.38584899902344,4289400
2023-06-30,3673.06005859375,3673.06005859375,0,13787.919921875,13787.919921875,4661120000,4450.3798828125,4450.3798828125,3923450000,13.59000015258789,13.59000015258789,0,63.380001068115234,59.000240325927734,3602700
2023-07-03,3703.6201171875,3703.6201171875,0,13816.76953125,13816.76953125,2902300000,4455.58984375,4455.58984375,2034280000,13.569999694824219,13.569999694824219,0,64.79000091552734,60.31280517578125,2258100
2023-07-05,3622.320068359375,3622.320068359375,0,13791.650390625,13791.650390625,5339340000,4446.81982421875,4446.81982421875,3482620000,14.180000305175781,14.180000305175781,0,64.05999755859375,59.63325119018555,4168400
2023-07-06,3577.489990234375,3577.489990234375,0,13679.0400390625,13679.0400390625,6113080000,4411.58984375,4411.58984375,3682020000,15.4399995803833,15.4399995803833,0,62.810001373291016,58.46963119506836,3508200
